Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
MainBoard,0.0318708943804719,0.023913899686553,-0.00595908163167723,0,0,0,0.227454615671169,0.000136525777773456,3.12863888453759E-07,1.90573445048021E-08,4.68216222434367E-05,-2.83843165485194E-06,0.000174561924229273,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/MainBoard.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/MainBoard.STL,,Kopia podstawa^JASZCZUR_10_07-1;Kopia Kopia FT3325P^JASZCZUR_10_07-1;Kopia Kopia (3) FT3325P^JASZCZUR_10_07-1;Kopia Kopia (2) FT3325P^JASZCZUR_10_07-1;Kopia Kopia (4) FT3325P^JASZCZUR_10_07-1;Kopia Kopia (5) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-2;Kopia Kopia kark2^JASZCZUR_10_07-1;Kopia Kopia neck^JASZCZUR_10_07-1;Kopia Kopia (5) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1;Kopia Kopia orczykM^JASZCZUR_10_07-1;Kopia Kopia neck support^JASZCZUR_10_07-1;Kopia Kopia head^JASZCZUR_10_07-1;Kopia SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1;Kopia Kopia tail^JASZCZUR_10_07-1;Kopia Kopia tailTip^JASZCZUR_10_07-1;Kopia Kopia tailbone^JASZCZUR_10_07-1;Kopia Kopia (6) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1;Kopia Kopia tail support^JASZCZUR_10_07-1;Kopia Kopia (2) orczykM^JASZCZUR_10_07-1;Kopia Kopia (2) orczykM^JASZCZUR_10_07-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
FRndServoLink,0.00980168628095077,0.00502207558822694,0.00196275745174633,0,0,0,0.00898215937174241,5.02863358905766E-07,4.1867498994215E-10,3.94795319133528E-11,3.74381833099219E-07,-1.31121128197788E-07,3.05060716060262E-07,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FRndServoLink.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FRndServoLink.STL,,Kopia Kopia holder^JASZCZUR_10_07-1;Kopia Kopia SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1,Origin_FRndServoJnt,FR1,FRndServoJnt,continuous,0.0615,0.087,-0.016,3.1416,0,1.5708,MainBoard,-1,0,0,,,,,,,,,,,,0
FRstArmLink,-0.0500875871691268,0.00194912578757789,0.000253934421777263,0,0,0,0.0107279118339416,4.12846704724883E-07,-3.43056520530813E-12,7.44936775104867E-12,1.46713624904103E-06,-9.74334413202601E-09,1.19624826531191E-06,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FRstArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FRstArmLink.STL,,Kopia Kopia arm^JASZCZUR_10_07-1;Kopia Kopia SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-2,Origin_FRstArmJnt,FR2,FRstArmJnt,continuous,0.01165,0.012199,-0.010432,-1.5708,0.87266,-1.5708,FRndServoLink,0,-1,0,,,,,,,,,,,,0
FRndArmLink,2.22044604925031E-16,0.00399999999999981,0.0271089217366484,0,0,0,0.0036829203673205,1.060682058846E-06,-2.61078880837049E-23,-3.15646547974623E-21,1.0612743799609E-06,-1.68132721636094E-22,3.98768050329809E-08,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FRndArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FRndArmLink.STL,,Kopia Kopia arm^JASZCZUR_10_07-2,Origin_FRndArmJnt,FR3,FRndArmJnt,continuous,-0.0621,0.01505,0.00515,1.6427,-1.5708,-1.6427,FRstArmLink,0,-1,0,,,,,,,,,,,,0
FLndServoLink,0.0050221,0.0098014,0.0019628,0,0,0,0.0089822,3.7438E-07,4.0384E-10,-1.3112E-07,5.0286E-07,3.2481E-11,3.0506E-07,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FLndServoLink.STL,1,0.94902,0.9098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FLndServoLink.STL,,Kopia Kopia (3) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1;Kopia Kopia (3) holder^JASZCZUR_10_07-1,Origin_FLndServoJnt,FL1,FLndServoJnt,continuous,0.0025,0.087,-0.016,-3.1416,0,3.1416,MainBoard,0,-1,0,,,,,,,,,,,,0
FLstArmLink,-0.0500875872307532,0.00194912586046352,0.000253934457508431,0,0,0,0.0107279119252347,4.12846706539516E-07,-3.4316328345475E-12,7.44762988494872E-12,1.46713625236567E-06,-9.74334495191596E-09,1.19624826786885E-06,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FLstArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FLstArmLink.STL,,Kopia Kopia (3) arm^JASZCZUR_10_07-1;Kopia Kopia (3) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-2,Origin_FLstArmJnt,FL2,FLstArmJnt,continuous,0.012199,0.01165,-0.010432,-1.5708,0.87266,3.1416,FLndServoLink,0,-1,0,,,,,,,,,,,,0
FLndArmLink,0,0.00399999999999997,0.0271089217366484,0,0,0,0.00368292036732051,1.06068205884601E-06,-2.27474668452083E-23,-2.5127792148929E-22,1.0612743799609E-06,1.79587457327763E-21,3.98768050329804E-08,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FLndArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FLndArmLink.STL,,Kopia Kopia (3) arm^JASZCZUR_10_07-2,Origin_FLndArmJnt,FL3,FLndArmJnt,continuous,-0.0621,0.01505,0.00515,-1.9544,-1.5708,1.9544,FLstArmLink,0,-1,0,,,,,,,,,,,,0
RLndServoLink,0.00502207563121094,0.00980168635904874,-0.00196275734735713,0,0,0,0.0089821594835975,3.74381837395238E-07,4.18675619504707E-10,1.311211286574E-07,5.0286336077878E-07,-3.94816041911556E-11,3.05060718753469E-07,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/RLndServoLink.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/RLndServoLink.STL,,Kopia Kopia (2) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1;Kopia Kopia (2) holder^JASZCZUR_10_07-1,Origin_RLndServoJnt,RL1,RLndServoJnt,continuous,0.00249999999999984,-0.00799999999999976,-0.016,0,0,-3.14159265358979,MainBoard,0,-1,0,,,,,,,,,,,,0
RLstArmLink,-0.0500875871887852,0.00194912580032853,0.000253934434909332,0,0,0,0.0107279118502789,4.12846705905815E-07,-3.4305322531194E-12,7.44950999545174E-12,1.46713625013441E-06,-9.74334443894416E-09,1.19624826539149E-06,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/RLstArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/RLstArmLink.STL,,Kopia Kopia (2) arm^JASZCZUR_10_07-1;Kopia Kopia (2) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-2,Origin_RLstArmJnt,RL2,RLstArmJnt,continuous,0.012199,0.01165,0.010432,1.5708,-0.87266,3.1416,RLndServoLink,0,-1,0,,,,,,,,,,,,0
RLndArmLink,1.04083408558608E-17,0.0039999999999999,0.0271089217366484,0,0,0,0.00368292036732051,1.06068205884601E-06,-8.01331218410746E-24,-4.74262065502718E-22,1.0612743799609E-06,2.70761829788275E-21,3.98768050329819E-08,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/RLndArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/RLndArmLink.STL,,Kopia Kopia (2) arm^JASZCZUR_10_07-2,Origin_RLndArmJnt,RL3,RLndArmJnt,continuous,-0.0621,0.0150500000000294,0.00514999999999813,1.65099348915861,-1.57079631189374,-1.65101528723285,RLstArmLink,0,-1,0,,,,,,,,,,,,0
