Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
belly,0.03,0.045,0.0086392,0,0,0,0.12561,0.00019491,1.0522E-20,9.9374E-22,6.826E-05,-3.2518E-22,0.00025927,0,0,0,0,0,0,package://lizard_description/meshes/belly.STL,0.91765,0.91765,0.91765,1,0,0,0,0,0,0,package://lizard_description/meshes/belly.STL,,lizard_description.iam-1/podstawa.ipt-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
FRstServoLink,0.00982301146692348,0.0100133157576773,0.00609982243576659,0,0,0,0.00746769202007824,4.30213630580842E-07,-1.03279472389634E-08,3.63105904300421E-12,1.43700202219469E-07,-7.8895640909465E-12,3.95348133595681E-07,0,0,0,0,0,0,package://lizard_description/meshes/FRstServoLink.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://lizard_description/meshes/FRstServoLink.STL,,lizard_description.iam-1/SG90 - Micro Servo 9g - Tower Pro.1.ipt-1,Origin_FRstServoJnt,,FRstServoJnt,fixed,0.07,-0.01,0.015,0,0,1.5708,belly,0,0,0,,,,,,,,,,,,0
FRplateLink,0.00668019140904452,0.00393393093402902,0.00614981938219049,0,0,0,0.0019371681469282,1.2989349389867E-07,2.22458553397162E-10,3.47764093056011E-10,6.83273335716312E-08,1.47233380560847E-09,6.96871715585702E-08,0,0,0,0,0,0,package://lizard_description/meshes/FRplateLink.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://lizard_description/meshes/FRplateLink.STL,,lizard_description.iam-1/holder.ipt-3,Origin_FRplateJnt,FR1,FRplateJnt,continuous,-9.9E-05,0.00525,0.0061,-0.7854,0,-3.1416,FRstServoLink,1,0,0,,,,,,,,,,,,0
FRndServoLink,0.0168769876393255,0.0103866842603198,0.00609982230844828,0,0,0,0.00746769221167402,4.30213662397098E-07,-1.03279128219074E-08,-3.63142581155928E-12,1.43700191865541E-07,7.87859191332848E-12,3.95348121118197E-07,0,0,0,0,0,0,package://lizard_description/meshes/FRndServoLink.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://lizard_description/meshes/FRndServoLink.STL,,lizard_description.iam-1/SG90 - Micro Servo 9g - Tower Pro.1.ipt-5,Origin_FRndServoJnt,,FRndServoJnt,fixed,0.009151,-0.0038103,-0.0059566,1.5708,-0.21631,1.5708,FRplateLink,0,0,0,,,,,,,,,,,,0
FRstArmLink,-0.0269507106222497,0.00410000000000087,-0.00292452298323934,0,0,0,0.00390389558935974,5.48625626225724E-08,4.09834906295523E-20,-1.16051172864203E-07,1.12495084275856E-06,4.44077624602567E-21,1.11172983308916E-06,0,0,0,0,0,0,package://lizard_description/meshes/FRstArmLink.STL,0.917647058823529,0.917647058823529,0.917647058823529,1,0,0,0,0,0,0,package://lizard_description/meshes/FRstArmLink.STL,,lizard_description.iam-1/arm.ipt-1,Origin_FRstArmJnt,FR2,FRstArmJnt,continuous,0.03095,0.01515,0.0061,0,0,-1.5708,FRndServoLink,0,1,0,,,,,,,,,,,,0
FRrdServoLink,0.00260017760807482,0.00463668422140362,0.0125769882228761,0,0,0,0.00746769199220507,3.95348127647139E-07,-7.88706847151875E-12,3.63087709548236E-12,1.43700197181375E-07,-1.0327938443167E-08,4.3021363700595E-07,0,0,0,0,0,0,package://lizard_description/meshes/FRrdServoLink.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://lizard_description/meshes/FRrdServoLink.STL,,lizard_description.iam-1/SG90 - Micro Servo 9g - Tower Pro.1.ipt-12,Origin_FRrdServoJnt,,FRrdServoJnt,fixed,-0.055242,0.0081,-0.010018,1.6789,0,-1.5708,FRstArmLink,0,0,0,,,,,,,,,,,,0
FRndArmLink,0.00825000000000063,-0.0194715580023163,-0.0188613909000947,0,0,0,0.00390389558935974,1.12495084275856E-06,2.28963593554678E-20,2.21022659674169E-20,5.66076905592061E-07,-5.40752695363567E-07,6.00515490119668E-07,0,0,0,0,0,0,package://lizard_description/meshes/FRndArmLink.STL,0.917647058823529,0.917647058823529,0.917647058823529,1,0,0,0,0,0,0,package://lizard_description/meshes/FRndArmLink.STL,,lizard_description.iam-1/arm.ipt-6,Origin_FRndArmJnt,FR3,FRndArmJnt,continuous,0.0026,0.0094,0.0225,0.90142,-1.5708,0,FRrdServoLink,-1,0,0,,,,,,,,,,,,0
FLstServoLink,0.0100133157573078,0.0098230114666415,0.00610017756399171,0,0,0,0.00746769202030283,1.4370020221647E-07,-1.03279472451323E-08,7.88955387781639E-12,4.30213630601606E-07,-3.63106347865435E-12,3.9534813362142E-07,0,0,0,0,0,0,package://lizard_description/meshes/FLstServoLink.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://lizard_description/meshes/FLstServoLink.STL,,lizard_description.iam-1/SG90 - Micro Servo 9g - Tower Pro.1.ipt-2,Origin_FLstSevoJnt,,FLstSevoJnt,fixed,-0.01,-0.01,0.015,0,0,0,belly,0,0,0,,,,,,,,,,,,0
FLplateLink,0.00700458579898856,0.00252919140904428,-0.00205715065366482,0,0,0,0.00193716814692821,7.0371454726811E-08,3.960999951759E-10,-8.76931659140639E-10,1.2989349389867E-07,-1.16329128855733E-10,6.76430504033906E-08,0,0,0,0,0,0,package://lizard_description/meshes/FLplateLink.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://lizard_description/meshes/FLplateLink.STL,,lizard_description.iam-1/holder.ipt-2,Origin_FLplateJnt,FL1,FLplateJnt,continuous,0.00525,-0.00425,0.0061,0,0,-3.1416,FLstServoLink,0,1,0,,,,,,,,,,,,0
FLndServoLink,0.00961331556405451,0.0124769884120718,-0.00610017785206844,0,0,0,0.0074676934157608,1.43700195463786E-07,1.03279015438127E-08,-7.87721700254369E-12,4.30213694151839E-07,-3.63085349524111E-12,3.95348138553585E-07,0,0,0,0,0,0,package://lizard_description/meshes/FLndServoLink.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://lizard_description/meshes/FLndServoLink.STL,,lizard_description.iam-1/SG90 - Micro Servo 9g - Tower Pro.1.ipt-6,Origin_FLndServoJnt,,FLndServoJnt,fixed,0.012878,0.005,0.0077146,-1.5708,0.49974,3.1416,FLplateLink,0,0,0,,,,,,,,,,,,0
