Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
MainBoard,0.0320000193091435,0.0395027228412031,-0.00887228498305923,0,0,0,0.129368445562822,8.48084091160014E-05,2.93923351652188E-15,2.06187013678502E-15,3.18110038223056E-05,-1.94866907025266E-08,0.000114276211083158,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/MainBoard.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/MainBoard.STL,,Kopia podstawa^JASZCZUR_10_07-1;Kopia Kopia FT3325P^JASZCZUR_10_07-1;Kopia Kopia (3) FT3325P^JASZCZUR_10_07-1;Kopia Kopia (2) FT3325P^JASZCZUR_10_07-1;Kopia Kopia (4) FT3325P^JASZCZUR_10_07-1;Kopia Kopia (5) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-2;Kopia SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
FRndServoLink,0.00980168634688897,0.00502207563388984,0.00196275735380311,0,0,0,0.00898215948151009,5.02863360750936E-07,4.18675151934187E-10,3.94807696352951E-11,3.74381836870733E-07,-1.31121128677089E-07,3.05060718459654E-07,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FRndServoLink.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FRndServoLink.STL,,Kopia Kopia holder^JASZCZUR_10_07-1;Kopia Kopia SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1,Origin_FRndServoJnt,FR1,FRndServoJnt,continuous,0.0615,0.087,-0.016,3.1416,0,1.5708,MainBoard,-1,0,0,,,,,,,,,,,,0
FRstArmLink,-0.050087587173191,0.00194912579241757,0.000253934431876823,0,0,0,0.0107279118401016,4.12846705736316E-07,-3.43063723092757E-12,7.44940299377242E-12,1.46713624981902E-06,-9.74334437552982E-09,1.1962482651399E-06,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FRstArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FRstArmLink.STL,,Kopia Kopia arm^JASZCZUR_10_07-1;Kopia Kopia SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-2,Origin_FRstArmJnt,FR2,FRstArmJnt,continuous,0.01165,0.012199,-0.010432,-1.5708,0.87266,-1.5708,FRndServoLink,0,-1,0,,,,,,,,,,,,0
FRndArmLink,1.66533453693773E-16,0.00400000000000231,0.0271089217366474,0,0,0,0.0036829203673205,1.06068205884601E-06,-2.61078880837049E-23,-3.15670781781632E-21,1.0612743799609E-06,-9.53408506083935E-23,3.98768050329809E-08,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FRndArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FRndArmLink.STL,,Kopia Kopia arm^JASZCZUR_10_07-2,Origin_FRndArmJnt,FR3,FRndArmJnt,continuous,-0.0621,0.0150500000002124,0.00515000000000268,1.64274156972154,-1.57079631189374,-1.64274415968957,FRstArmLink,0,-1,0,,,,,,,,,,,,0
FLndServoLink,0.0050221,0.0098014,0.0019628,0,0,0,0.0089822,3.7438E-07,4.0384E-10,-1.3112E-07,5.0286E-07,3.248E-11,3.0506E-07,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FLndServoLink.STL,1,0.94902,0.9098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FLndServoLink.STL,,Kopia Kopia (3) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1;Kopia Kopia (3) holder^JASZCZUR_10_07-1,Origin_FLndServoJnt,FL1,FLndServoJnt,continuous,0.00250000000000065,0.0869999999999997,-0.016,-3.14159265358979,0,3.14159265358979,MainBoard,0,-1,0,,,,,,,,,,,,0
FLstArmLink,-0.0500875873328301,0.00194912587509953,0.000253934473360917,0,0,0,0.0107279119437584,4.12846707912603E-07,-3.42949742563357E-12,7.45129949397818E-12,1.46713625367284E-06,-9.74334532607003E-09,1.19624826799648E-06,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FLstArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FLstArmLink.STL,,Kopia Kopia (3) arm^JASZCZUR_10_07-1;Kopia Kopia (3) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-2,Origin_FLstArmJnt,FL2,FLstArmJnt,continuous,0.0121985951706078,0.0116500000000019,-0.0104316478019355,-1.57079632679489,0.872664625997144,3.14159265358978,FLndServoLink,0,-1,0,,,,,,,,,,,,0
FLndArmLink,1.77635683940025E-15,0.00400000000000253,0.0271089217366467,0,0,0,0.00368292036732051,1.06068205884601E-06,-1.47083052669585E-23,-2.75851809589364E-22,1.06127437996091E-06,1.81076136779072E-21,3.98768050329816E-08,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FLndArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/FLndArmLink.STL,,Kopia Kopia (3) arm^JASZCZUR_10_07-2,Origin_FLndArmJnt,FL3,FLndArmJnt,continuous,-0.0621,0.01505,0.00515,-1.9544,-1.5708,1.9544,FLstArmLink,0,-1,0,,,,,,,,,,,,0
RLndServoLink,0.0050221,0.0098017,-0.0019628,0,0,0,0.0089822,3.7438E-07,4.1867E-10,1.3112E-07,5.0286E-07,-3.948E-11,3.0506E-07,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/RLndServoLink.STL,1,0.94902,0.9098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/RLndServoLink.STL,,Kopia Kopia (2) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1;Kopia Kopia (2) holder^JASZCZUR_10_07-1,Origin_RLndServoJnt,RL1,RLndServoJnt,continuous,0.00249999999999984,-0.00799999999999976,-0.016,0,0,-3.14159265358979,MainBoard,0,-1,0,,,,,,,,,,,,0
RLstArmLink,-0.0500875871726907,0.00194912579210623,0.000253934431699035,0,0,0,0.010727911839871,4.12846705720797E-07,-3.43064372608672E-12,7.44939574750122E-12,1.46713624980483E-06,-9.74334437108359E-09,1.1962482651381E-06,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/RLstArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/RLstArmLink.STL,,Kopia Kopia (2) arm^JASZCZUR_10_07-1;Kopia Kopia (2) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-2,Origin_RLstArmJnt,RL2,RLstArmJnt,continuous,0.0121985951706048,0.0116500000000019,0.0104316478019361,1.57079632679489,-0.872664625997154,3.14159265358979,RLndServoLink,0,-1,0,,,,,,,,,,,,0
RLndArmLink,-6.07153216591882E-16,0.00400000000000033,0.027108921736649,0,0,0,0.00368292036732051,1.06068205884601E-06,-8.68539643180679E-24,-4.73767695839747E-22,1.0612743799609E-06,2.94088321938143E-21,3.98768050329813E-08,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/RLndArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_10_07/meshes/RLndArmLink.STL,,Kopia Kopia (2) arm^JASZCZUR_10_07-2,Origin_RLndArmJnt,RL3,RLndArmJnt,continuous,-0.0621,0.0150500000000294,0.00514999999999813,1.65099348915861,-1.57079631189374,-1.65101528723285,RLstArmLink,0,-1,0,,,,,,,,,,,,0
